crop,temp_c,humidity,gas_ppm,hours_since_harvest,vqi,weight
Tomato,28.49,55.62,56.01,39,4.86,143.14850196363977
Tomato,26.59,68.1,275.65,23,5.52,122.6641087175251
Tomato,28.94,61.82,23.8,10,5.99,162.77765912903564
Tomato,31.57,59.05,434.31,41,4.1,168.66559438266555
Tomato,26.3,61.88,28.93,27,3.81,150.14522115215695
Tomato,26.3,64.08,425.97,46,4.05,140.36813479526677
Tomato,31.74,61.98,51.82,6,5.43,135.73778557052805
Tomato,29.3,53.97,306.47,30,5.77,154.80243570385042
Tomato,25.59,69.49,279.9,23,5.69,150.62687193184556
Tomato,28.63,71.37,181.47,4,5.93,148.6979799909377
Tomato,25.61,68.26,331.15,29,4.68,137.22238544981937
Tomato,25.6,59.31,466.77,39,5.42,157.0122460702717
Tomato,27.73,63.99,267.81,15,5.91,128.64084604785256
Tomato,21.26,64.97,482.21,15,5.8,146.57805345510874
Tomato,21.83,67.99,141.21,44,3.93,151.89257441260528
Tomato,25.31,68.34,240.51,12,5.6,132.1817873334656
Tomato,23.96,61.33,12.12,10,5.72,134.65348020245378
Tomato,27.94,65.41,106.23,39,4.79,145.98435308099963
Tomato,24.28,67.29,474.12,45,3.96,136.4606242472552
Tomato,22.76,72.28,257.89,7,6.6,166.26444716960611
Tomato,31.4,68.52,319.93,2,5.13,129.72314149177723
Tomato,26.32,68.95,496.71,26,4.43,142.3437590457188
Tomato,27.2,65.42,131.33,17,5.85,148.42509835407662
Tomato,22.73,72.05,237.07,16,5.82,159.71289147640314
Tomato,25.37,67.05,230.08,35,3.21,148.85933050255483
Tomato,27.33,60.69,55.14,18,5.84,159.78121397251346
Tomato,23.55,72.02,95.39,4,6.52,152.5351750733426
Tomato,28.13,68.49,260.48,4,6.2,147.79267715430416
Tomato,25.2,62.78,334.16,38,4.23,130.92650478133234
Tomato,26.12,62.6,418.38,18,5.41,153.9092572643123
Tomato,25.19,66.48,63.76,39,3.76,128.1946516567251
Tomato,32.56,67.32,31.95,2,5.3,171.01745658809392
Tomato,26.96,65.99,118.01,8,6.38,122.45521532558507
Tomato,23.83,66.56,393.25,27,5.32,135.70230618402786
Tomato,29.47,73.5,361.75,40,4.42,155.109063036911
Tomato,23.34,70.36,14.93,20,4.04,152.9340330612595
Tomato,27.63,65.95,291.32,31,5.45,156.07572691720736
Tomato,21.12,69.71,247.83,44,3.75,149.0311363491386
Tomato,23.02,59.84,153.77,15,6.04,143.51223409187676
Tomato,27.59,66.99,104.41,14,5.87,170.00031118576544
Tomato,29.22,74.05,375.0,21,5.36,130.633399492499
Tomato,27.51,63.91,218.59,27,5.67,141.30146725798707
Tomato,26.65,60.76,331.16,28,4.55,158.53832874258944
Tomato,26.1,61.74,255.91,26,4.74,142.66755500400038
Tomato,22.56,59.55,31.28,10,4.85,144.94664585505728
Tomato,24.84,61.08,410.3,42,4.37,96.80498641776904
Tomato,25.62,63.15,240.49,13,6.63,175.3627462029602
Tomato,30.17,57.97,52.28,11,7.22,145.71386286032606
Tomato,28.03,65.08,233.7,7,5.66,176.47966993184218
Tomato,21.71,69.51,450.75,35,4.86,147.74079282164726
Tomato,27.97,60.46,19.12,42,4.26,155.65613903469261
Tomato,25.84,72.6,229.06,20,5.11,156.8465595451925
Tomato,24.97,67.55,75.46,7,6.01,161.4578575155322
Tomato,28.84,70.15,189.65,3,6.81,158.49602421726934
Tomato,30.09,61.71,231.51,16,6.04,147.68411087344595
Tomato,29.79,69.27,496.88,18,6.54,167.26220234431455
Tomato,24.48,59.54,99.87,17,6.12,155.0169062517314
Tomato,26.07,69.45,253.23,29,5.18,151.55282577308614
Tomato,27.99,65.86,22.07,22,7.14,137.59910182878613
Tomato,29.93,67.77,174.16,9,4.53,148.30528553032525
Tomato,25.56,59.12,381.43,11,5.24,139.2293559923538
Tomato,26.44,60.52,145.82,11,6.51,144.67452818014667
Tomato,23.68,67.99,112.41,11,5.99,145.89795919889946
Tomato,23.41,60.26,77.27,10,5.59,125.95805103454177
Tomato,29.44,67.32,440.65,29,4.16,151.17707400785952
Tomato,31.07,58.16,68.14,25,5.72,169.7613303036151
Tomato,26.78,69.24,103.03,20,5.04,138.26523639468817
Tomato,30.01,58.84,169.74,34,5.45,134.58854568200772
Tomato,28.08,67.76,159.44,5,6.88,148.17000207339956
Tomato,25.06,68.13,347.32,4,5.53,117.46819712183436
Tomato,28.08,61.52,109.68,43,3.27,121.12519120328821
Tomato,31.61,67.91,203.75,13,4.25,153.89730560882518
Tomato,26.89,66.3,261.2,19,5.71,126.48159960225065
Tomato,31.69,62.31,180.76,24,4.84,154.11988223473512
Tomato,19.14,59.96,418.53,21,5.2,151.86820184278653
Tomato,29.47,55.19,359.61,7,5.55,114.5280625499179
Tomato,27.26,66.75,234.82,35,5.59,112.5767460213708
Tomato,26.1,57.18,372.22,43,5.0,147.11090193915
Tomato,27.28,65.48,127.47,3,6.29,138.75724607422188
Tomato,21.04,63.68,2.77,31,5.35,135.93516191743925
Tomato,26.34,68.4,391.94,10,6.46,130.72493817770012
Tomato,28.07,63.49,416.99,28,4.49,131.6307187936686
Tomato,31.43,63.35,305.23,43,2.84,116.71392462808855
Tomato,25.45,68.66,328.52,35,4.18,108.46744259945771
Tomato,24.57,66.68,236.95,41,3.33,138.92178828034716
Tomato,25.49,66.58,486.16,25,5.06,119.54896008996992
Tomato,29.75,67.35,281.68,18,5.57,148.20688595008082
Tomato,27.99,57.32,118.59,30,4.57,144.4971338520115
Tomato,25.41,68.78,314.94,37,4.46,109.34922740198057
Tomato,28.54,68.06,383.87,13,5.06,141.5534800050873
Tomato,27.29,59.92,392.95,32,3.46,149.51095720405425
Tomato,29.91,63.78,498.33,10,5.17,110.50787483070586
Tomato,24.89,64.8,445.68,20,6.83,159.35981736564977
Tomato,26.02,64.33,195.61,47,4.53,147.50264995457383
Tomato,25.82,66.67,70.53,47,3.95,159.57868012231143
Tomato,22.61,72.16,214.92,18,5.72,155.32965595922144
Tomato,27.89,70.41,283.89,3,6.02,177.1432289382478
Tomato,27.78,58.44,388.55,41,4.2,160.32897632663312
Tomato,27.02,68.11,363.65,6,5.84,134.8223353221977
Tomato,26.3,71.64,353.13,40,4.22,161.05803056421078
Tomato,22.75,66.93,109.11,17,6.32,170.79801865426202
Tomato,25.74,70.45,214.79,18,6.14,151.98589856210435
Tomato,25.97,75.06,136.4,28,3.58,135.51174882031984
Tomato,24.59,70.12,141.48,8,5.52,139.77896095171747
Tomato,26.52,66.25,255.9,9,5.57,179.5158626884715
Tomato,28.21,70.23,253.71,9,5.33,162.68486205316958
Tomato,32.66,65.72,159.89,24,4.9,179.30887876390713
Tomato,27.52,65.12,471.22,33,5.28,96.70912293950936
Tomato,27.77,63.24,352.05,44,5.1,133.8691355869904
